kelurahan,unit_id,kecamatan,score,intersection_density,avg_block_length,sidewalk_pct,amenity_pct,n_int,n_block,n_sidewalk,n_amenity
Ledeng,0,Cidadap,84.1216925300861,90.09429854913562,75.64897352768101,1.7602346337545285,100.0,100.0,92.671721849234,8.801173168772642,100.0
Isola,1,Sukajadi,87.99598661809928,95.25666716190024,68.64369922109056,6.12535730654271,100.0,100.0,94.67322879397413,30.626786532713545,100.0
Cirangrang,2,Babakan Ciparay,84.94639740189186,196.331954806538,50.625363644594884,0.0,91.75257731958763,100.0,99.82132467297289,0.0,100.0
Binong,3,Batununggal,85.92688680702881,247.7638585560993,51.527989319914425,1.410476426885772,100.0,100.0,99.5634316228816,7.05238213442886,100.0
Gumuruh,4,Batununggal,85.94830891088169,131.5286132381964,53.30440377938707,1.6420580273912557,100.0,100.0,99.05588463446084,8.21029013695628,100.0
Kacapiring,5,Batununggal,90.12927807015197,219.08318174036776,47.010312672002,6.839037426869296,100.0,100.0,100.0,34.195187134346476,100.0
Kebonwaru,6,Batununggal,92.08581466605324,218.3766850355004,54.23582586001346,9.931847272072515,100.0,100.0,98.78976403999616,49.65923636036258,100.0
Kebongedang,7,Batununggal,82.86316132815571,199.72791696194983,74.92978450485005,0.0,100.0,100.0,92.8772044271857,0.0,100.0
Maleer,8,Batununggal,85.32545494851045,165.13585918760847,73.58674943457879,3.129568438156274,100.0,100.0,93.26092873297749,15.647842190781368,100.0
Cibangkong,9,Batununggal,88.19019265388592,235.89863326268542,54.94226482470775,4.818420470862131,100.0,100.0,98.58792433579778,24.092102354310658,100.0
Samoja,10,Batununggal,90.49327450966517,252.91965980178495,57.00284209079914,8.124690823263949,100.0,100.0,97.99918797405739,40.62345411631975,100.0
Kebonjayanti,11,Kiaracondong,87.19235893098696,276.51717505132154,58.69132998239217,3.9164400964464816,100.0,100.0,97.51676286217366,19.58220048223241,100.0
Kebonkangkung,12,Kiaracondong,94.53339659635878,249.2339656315425,55.217249329966286,13.307452528093586,100.0,100.0,98.50935733429534,66.53726264046793,100.0
Sukapura,13,Kiaracondong,84.16754548192391,188.93536146592643,61.76222504093216,0.23431493295744993,100.0,100.0,96.63936427401939,1.1715746647872496,100.0
Babakansari,14,Kiaracondong,86.41075166642713,385.932032725027,47.854457598582975,1.8810022219028333,100.0,100.0,100.0,9.405011109514167,100.0
Babakan Surabaya,15,Kiaracondong,87.16760190801828,275.5732691129023,55.16742385397548,3.480698603526347,100.0,100.0,98.52359318457844,17.403493017631735,100.0
